Field=#~Integer~#~50|Field=Alternative Group Name~String~Alternative Group Name~962|Field=Comment~String~Comment~1067|Field=Description~String~Description~4575|Field=Designator~String~Designator~479|Field=Footprint~String~Footprint~906|Field=LibRef~String~LibRef~842|Field=Quantity~Integer~Quantity~398|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Wavefolder.PrjPcb|ReportField=ProjectFullPath~C:\Users\oren\Desktop\OrenAltiumProjects\SmallerWavefolder\Wavefolder.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [WavefolderBom.BomDoc]|ReportField=TotalQuantity~190|ReportField=ReportTime~6:25:24 PM|ReportField=ReportDate~8/18/2016|ReportField=ReportDateTime~8/18/2016 6:25:24 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/18/2016|ReportField=CurrentTime~6:19:22 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\oren\Desktop\OrenAltiumProjects\SmallerWavefolder\Wavefolder.SchDoc|ReportField=DocumentName~Wavefolder.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/17/2016|ReportField=Organization~|ReportField=ProjectName~Wavefolder.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~WavefolderBom.BomDoc|ReportField=DataSourceFullPath~C:\Users\oren\Desktop\OrenAltiumProjects\SmallerWavefolder\WavefolderBom.BomDoc
1||100pF, 100pF, 100pF, 100pF, 100pF, 100pF, 100pF, 100pF, 100nF, 100nF|CAP 0.5pF 25V ±0.1pF 0805 (2012 Metric) Thickness 0.75mm SMD|C1, C1, C2, C2, C7, C7, C8, C8, C14, C14|CAPC0805(2012)75_N|CMP-1036-00012-1|10
2||47uF, 47uF, 47uF, 47uF, 47uF, 47uF, 47uF, 47uF, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, 1N4148W, B530C-13-F, B530C-13-F, B530C-13-F, B530C-13-F, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Header 5X2, Header 5X2, LM3900, LM3900, 20k, 20k, 20k, 20k, 20k, 20k, 20k, 20k|Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Aluminum Electrolytic Capacitor, 47 uF +/- 20%, 25 V, -55 to 105 degC, 2-Pin 5.3 x 5.3 x 6.1 mm SMD, RoHS, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel, Surface Mount Schottky Barrier Rectifier, 5 A, 0.55 V, -55 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel, Surface Mount Schottky Barrier Rectifier, 5 A, 0.55 V, -55 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel, Surface Mount Schottky Barrier Rectifier, 5 A, 0.55 V, -55 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel, Surface Mount Schottky Barrier Rectifier, 5 A, 0.55 V, -55 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], Header, 5-Pin, Dual row, Header, 5-Pin, Dual row, [NoValue], [NoValue], Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS, Trimming Potentiometer, 5K Ohm +/- 10%, -55 to 125 degC, 3-Pin 19.05 x 4.83 x 6.6 mm THD, Transparent Housing, RoHS|C3, C3, C5, C5, C9, C9, C11, C11, D1, D1, D2, D2, D3, D3, D4, D4, D5, D5, D6, D6, D7, D7, D8, D8, D9, D9, D10, D10, D11, D11, D12, D12, D13, D13, D14, D14, D15, D15, D16, D16, D17, D17, D18, D18, J1, J1, J2, J2, J3, J3, J4, J4, J5, J5, J6, J6, J7, J7, J8, J8, J9, J9, J10, J10, J11, J11, J12, J12, J13, J13, J14, J14, J15, J15, J16, J16, J17, J17, J18, J18, J19, J19, J20, J20, P1, P1, P2, P2, P3, P3, P4, P4, P5, P5, U1, U1, VR1, VR1, VR2, VR2, VR3, VR3, VR4, VR4|PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, PNSC-FT-V-53x53-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, JSCJ-SOD-123-2_V, DIOD-SMC-2_V, DIOD-SMC-2_V, DIOD-SMC-2_V, DIOD-SMC-2_V, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, Thonkiconn Pot PJ301M, SonGueiPot, SonGueiPot, SonGueiPot, SonGueiPot, SonGueiPot, SonGueiPot, SonGueiPot, SonGueiPot, HDR2X5, HDR2X5, LM3900, LM3900, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V, BOUR-3006P-3_V|CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0744-00003-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-0914-00001-1, CMP-1693-00001-1, CMP-1693-00001-1, CMP-1693-00001-1, CMP-1693-00001-1, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Thonkicon jack, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Song Huei marker Pot, Header 5X2, Header 5X2, LM3900, LM3900, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1, CMP-0972-00009-1|104
3||470nF|CAP 0.5pF 25V ±0.1pF 0805 (2012 Metric) Thickness 0.75mm SMD|C4, C4, C6, C6, C10, C10, C12, C12|CAPC0805(2012)75_N|CMP-1036-00012-1|8
4||10uF|CAP 10uF 25V ±10% 1812 (4532 Metric) Thickness 2.8mm SMD|C13|CAPC1812(4532)280_L|CMP-1040-01656-1|2
5||CAP 100nF 6.3V 0805(2012)|CAP 100nF 6.3V ±10% 0805 (2012 Metric) Thickness 1mm SMD|C15|CAPC0805(2012)100_N|CMP-1036-04391-1|2
6||1M5|1M5 0.125W 5% 0805 (2012 Metric)  SMD|R1, R1, R2, R2, R3, R3, R4, R4, R13, R13, R14, R14, R17, R17, R18, R18, R20, R20, R21, R21, R29, R29, R31, R31|RESC0805(2012)_N|CMP-1013-00150-1|24
7||100K|100K 0.125W 5% 0805 (2012 Metric)  SMD|R5, R5, R6, R6, R15, R15, R16, R16, R19, R19, R23, R23, R30, R30, R32, R32|RESC0805(2012)_L|CMP-1013-00122-1|16
8||330R|330R 0.125W 5% 0805 (2012 Metric)  SMD|R7, R7, R8, R8, R22, R22, R25, R25|RESC0805(2012)_L|CMP-1013-00062-1|8
9||220K|220K 0.125W 5% 0805 (2012 Metric)  SMD|R9, R9, R10, R10, R24, R24, R27, R27|RESC0805(2012)_N|CMP-1013-00130-1|8
10||150K|150K 0.125W 5% 0805 (2012 Metric)  SMD|R11, R11, R12, R12, R26, R26, R28, R28|RESC0805(2012)_N|CMP-1013-00126-1|8
